knowledge_id,genre_id,knowledge_to_genre
598,22,belong_to
599,22,belong_to
601,22,belong_to
602,11,belong_to
602,22,belong_to
603,11,belong_to
603,22,belong_to
604,22,belong_to
605,22,belong_to
606,22,belong_to
607,22,belong_to
609,11,belong_to
609,22,belong_to
610,22,belong_to
611,22,belong_to
613,22,belong_to
614,22,belong_to
615,22,belong_to
617,22,belong_to
618,22,belong_to
619,22,belong_to
620,22,belong_to
621,22,belong_to
622,11,belong_to
622,22,belong_to
623,22,belong_to
624,22,belong_to
625,22,belong_to
626,22,belong_to
627,22,belong_to
628,22,belong_to
629,22,belong_to
630,22,belong_to
631,22,belong_to
632,22,belong_to
633,22,belong_to
634,11,belong_to
634,22,belong_to
636,22,belong_to
637,22,belong_to
638,22,belong_to
639,11,belong_to
639,22,belong_to
640,11,belong_to
640,22,belong_to
641,22,belong_to
642,11,belong_to
642,22,belong_to
643,22,belong_to
644,22,belong_to
646,22,belong_to
647,22,belong_to
648,22,belong_to
649,22,belong_to
650,22,belong_to
651,11,belong_to
651,22,belong_to
652,11,belong_to
652,22,belong_to
653,11,belong_to
653,22,belong_to
654,22,belong_to
655,22,belong_to
656,11,belong_to
656,22,belong_to
658,22,belong_to
659,22,belong_to
660,11,belong_to
660,22,belong_to
661,22,belong_to
662,11,belong_to
662,22,belong_to
663,11,belong_to
663,22,belong_to
664,11,belong_to
664,22,belong_to
666,11,belong_to
666,22,belong_to
667,22,belong_to
668,22,belong_to
670,11,belong_to
670,22,belong_to
671,11,belong_to
671,22,belong_to
673,22,belong_to
674,22,belong_to
675,22,belong_to
676,22,belong_to
677,22,belong_to
678,22,belong_to
679,22,belong_to
684,11,belong_to
684,22,belong_to
685,11,belong_to
685,22,belong_to
686,22,belong_to
687,22,belong_to
688,22,belong_to
689,22,belong_to
690,22,belong_to
691,22,belong_to
692,22,belong_to
693,22,belong_to
694,22,belong_to
695,11,belong_to
695,22,belong_to
696,22,belong_to
697,22,belong_to
698,22,belong_to
699,22,belong_to
700,11,belong_to
700,22,belong_to
701,22,belong_to
702,22,belong_to
703,22,belong_to
704,11,belong_to
704,22,belong_to
705,11,belong_to
705,22,belong_to
706,22,belong_to
707,11,belong_to
707,22,belong_to
708,11,belong_to
708,22,belong_to
709,22,belong_to
710,11,belong_to
710,22,belong_to
711,22,belong_to
712,22,belong_to
713,11,belong_to
713,22,belong_to
714,22,belong_to
715,11,belong_to
715,22,belong_to
716,22,belong_to
717,22,belong_to
718,11,belong_to
718,22,belong_to
720,11,belong_to
720,22,belong_to
721,22,belong_to
722,11,belong_to
722,22,belong_to
723,22,belong_to
724,22,belong_to
725,22,belong_to
726,11,belong_to
726,22,belong_to
728,22,belong_to
729,22,belong_to
731,22,belong_to
732,22,belong_to
733,22,belong_to
734,11,belong_to
734,22,belong_to
735,11,belong_to
735,22,belong_to
736,22,belong_to
738,11,belong_to
738,22,belong_to
739,11,belong_to
739,22,belong_to
740,11,belong_to
740,22,belong_to
741,22,belong_to
742,22,belong_to
743,22,belong_to
744,22,belong_to
745,11,belong_to
745,22,belong_to
746,11,belong_to
746,22,belong_to
747,11,belong_to
747,22,belong_to
748,22,belong_to
749,11,belong_to
749,22,belong_to
750,11,belong_to
750,22,belong_to
751,11,belong_to
751,22,belong_to
752,22,belong_to
753,22,belong_to
754,22,belong_to
755,22,belong_to
756,11,belong_to
756,22,belong_to
757,22,belong_to
759,22,belong_to
760,22,belong_to
761,11,belong_to
761,22,belong_to
762,22,belong_to
763,22,belong_to
764,22,belong_to
765,22,belong_to
766,22,belong_to
767,22,belong_to
768,22,belong_to
769,11,belong_to
769,22,belong_to
770,11,belong_to
770,22,belong_to
772,11,belong_to
772,22,belong_to
773,11,belong_to
773,22,belong_to
774,11,belong_to
774,22,belong_to
775,22,belong_to
776,22,belong_to
778,22,belong_to
779,11,belong_to
779,22,belong_to
780,22,belong_to
781,11,belong_to
781,22,belong_to
782,22,belong_to
783,22,belong_to
784,22,belong_to
785,22,belong_to
786,22,belong_to
787,22,belong_to
788,22,belong_to
789,22,belong_to
790,22,belong_to
791,22,belong_to
792,22,belong_to
793,22,belong_to
794,22,belong_to
795,22,belong_to
796,11,belong_to
796,22,belong_to
798,22,belong_to
799,11,belong_to
799,22,belong_to
800,11,belong_to
800,22,belong_to
801,11,belong_to
801,22,belong_to
802,11,belong_to
802,22,belong_to
803,22,belong_to
804,22,belong_to
805,22,belong_to
806,11,belong_to
806,22,belong_to
807,22,belong_to
808,22,belong_to
809,11,belong_to
809,22,belong_to
810,11,belong_to
810,22,belong_to
811,11,belong_to
811,22,belong_to
812,22,belong_to
813,11,belong_to
813,22,belong_to
814,11,belong_to
814,22,belong_to
815,22,belong_to
816,22,belong_to
817,22,belong_to
818,11,belong_to
818,22,belong_to
819,22,belong_to
820,22,belong_to
821,22,belong_to
822,22,belong_to
823,22,belong_to
824,11,belong_to
824,22,belong_to
825,22,belong_to
826,22,belong_to
827,22,belong_to
828,22,belong_to
830,22,belong_to
831,22,belong_to
832,22,belong_to
833,22,belong_to
834,22,belong_to
836,22,belong_to
837,22,belong_to
838,11,belong_to
838,22,belong_to
839,22,belong_to
840,22,belong_to
841,22,belong_to
842,22,belong_to
843,11,belong_to
843,22,belong_to
844,22,belong_to
845,22,belong_to
846,22,belong_to
848,22,belong_to
849,22,belong_to
850,22,belong_to
851,22,belong_to
852,11,belong_to
852,22,belong_to
853,22,belong_to
854,22,belong_to
855,22,belong_to
856,22,belong_to
857,22,belong_to
858,22,belong_to
859,22,belong_to
860,11,belong_to
860,22,belong_to
861,22,belong_to
862,22,belong_to
863,22,belong_to
864,11,belong_to
